Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Urban population,SP.URB.TOTL,IDA total,IDA,215950585,314707745,440251691,457186808,474209330,491339282,509011979,527317032,546607274,566544592,587130077,..
Urban population,SP.URB.TOTL,Late-demographic dividend,LTE,717951595,933646813,1178561088,1207230814,1235031859,1262711815,1290563888,1318582576,1346590501,1374811214,1402992942,..
Urban population,SP.URB.TOTL,Latin America & Caribbean,LCN,314542308,396155977,461321532,468568696,475780936,482961243,490096192,497163207,504157418,511065160,517887249,..
Urban population,SP.URB.TOTL,Latin America & Caribbean (excluding high income),LAC,266373023,339999644,399129466,405714900,412288224,418830409,425322580,431764327,438141683,444443076,450666895,..
Urban population,SP.URB.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,302904177,383463321,448362917,455599979,462818997,470001770,477138576,484226968,491250088,498197273,505064590,..
Urban population,SP.URB.TOTL,Least developed countries: UN classification,LDC,109838051,166314090,240004813,250013918,260478876,271243895,282409858,293983833,305950995,318314864,331089333,..
Urban population,SP.URB.TOTL,Low & middle income,LMY,1500991940,1998611940,2550635538,2618129221,2685367349,2753211141,2822265797,2892420440,2963777313,3036142882,3109311615,..
Urban population,SP.URB.TOTL,Low income,LIC,83743060,124029200,175973808,183098973,190054140,197030157,204214551,211727711,219956382,228588153,237625980,..
Urban population,SP.URB.TOTL,Lower middle income,LMC,558935044,748923244,960279180,986616559,1013436603,1040684356,1068578214,1096994737,1126041991,1155588817,1185661113,..
Urban population,SP.URB.TOTL,Middle East & North Africa,MEA,140373657,185394035,236134249,242842872,249335516,255852697,262372648,268847007,275492370,281989359,288362095,..
Urban population,SP.URB.TOTL,Middle East & North Africa (excluding high income),MNA,117734636,155375525,193046248,197848927,202529645,207318330,212198736,217100674,222226762,227270884,232269827,..
Urban population,SP.URB.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,116395184,153272481,190309457,195023033,199608665,204298573,209077319,213874810,218893881,223828626,228714362,..
Urban population,SP.URB.TOTL,Middle income,MIC,1417248880,1874582740,2374661730,2435030248,2495313209,2556180984,2618051246,2680692729,2743820931,2807554729,2871685635,..
Urban population,SP.URB.TOTL,North America,NAC,209308349,247586112,274499656,277446802,280172531,282968550,285696482,288549430,291378828,294295031,297206110,..
Urban population,SP.URB.TOTL,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
Urban population,SP.URB.TOTL,OECD members,OED,785434126,878407910,974636065,984512472,992212967,1000776450,1009570677,1018629008,1027702327,1036856013,1045805422,..
Urban population,SP.URB.TOTL,Other small states,OSS,7947461,10455387,14407449,14984961,15540458,16075082,16592422,17108048,17626971,18143680,18655988,..
Urban population,SP.URB.TOTL,Pacific island small states,PSS,533705,678820,797824,815431,832662,849983,867617,885987,904383,923137,942237,..
Urban population,SP.URB.TOTL,Post-demographic dividend,PST,714388175,780443392,851529933,858505292,863127258,868735418,874470889,880372660,886338237,892325454,898004335,..
Urban population,SP.URB.TOTL,Pre-demographic dividend,PRE,118234526,177559072,260636128,272252213,284433832,297018498,310106573,323676049,337707254,352194747,367165321,..
Urban population,SP.URB.TOTL,Small states,SST,11419511,14413398,18706061,19324308,19921493,20500652,21063387,21625694,22191652,22756100,23316811,..
Urban population,SP.URB.TOTL,South Asia,SAS,283865702,379367784,489245225,502216508,515351934,528752754,542414615,556358756,570578360,585084689,599884600,..
Urban population,SP.URB.TOTL,South Asia (IDA & IBRD),TSA,283865702,379367784,489245225,502216508,515351934,528752754,542414615,556358756,570578360,585084689,599884600,..
Urban population,SP.URB.TOTL,Sub-Saharan Africa,SSF,140320764,210202076,302425086,315308656,328747103,342594175,356950459,371834935,387237995,403154054,419598379,..
Urban population,SP.URB.TOTL,Sub-Saharan Africa (excluding high income),SSA,140286518,210161159,302378845,315260776,328700130,342546385,356901404,371784716,387186241,403101195,419544457,..
Urban population,SP.URB.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,140320764,210202076,302425086,315308656,328747103,342594175,356950459,371834935,387237995,403154054,419598379,..
Urban population,SP.URB.TOTL,Upper middle income,UMC,858313836,1125659496,1414382550,1448413689,1481876606,1515496628,1549473032,1583697992,1617778940,1651965912,1686024522,..
Urban population,SP.URB.TOTL,World,WLD,2275466573,2858130756,3503454963,3580569790,3655009162,3730938916,3808101888,3886498272,3966059373,4046606978,4127612962,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 03/21/2019,,,,,,,,,,,,,,,
